iteration,stepSize,p1' profit,p2's profit,p3's profit,p4's profit,p5's profit,p6's profit,p7's profit,p8's profit,p9's profit,p10's profit,LowerBoundCost
initialization, ,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,
1,1.000000,21.000000,11.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,
2,0.500000,21.000000,11.000000,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.000000,
3,0.333333,21.000000,14.333334,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.000000,
4,0.250000,21.000000,14.333334,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.999998,
5,0.200000,21.000000,14.333334,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.999998,
6,0.166667,21.000000,14.333334,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.999998,
7,0.142857,21.000000,14.333334,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.999998,
8,0.125000,21.000000,14.333334,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.999998,
9,0.111111,21.000000,14.333334,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.999998,